post_number,file,theme,format,persona,goal,cta
01,posts/01-sleep-but-not-rested.md,นอนครบแต่ยังไม่สดชื่น,3-slide,คนทำงานพลังงานตก / คนเริ่มใส่ใจสุขภาพวัย 35+,ดึง pain point เรื่องการนอนและกระตุ้นคอมเมนต์,คอมเมนต์ว่า “นอน” ถ้าอยากได้เช็กลิสต์ก่อนนอนแบบสั้นๆ
02,posts/02-afternoon-energy-crash.md,บ่ายสองแล้วสมองตื้อ,one-screen text,คนทำงานพลังงานตก,สร้างความรู้สึกว่าช่องเข้าใจปัญหาจริงและเพิ่ม save/share,ถ้าอยากได้เวอร์ชันสำหรับคนทำงานออฟฟิศ คอมเมนต์ว่า “ออฟฟิศ”
03,posts/03-healthy-breakfast-still-hungry.md,อาหารเช้าดูเฮลท์ตี้ แต่หิวเร็ว,3-slide,คนทำงานพลังงานตก / คุณแม่เวลาน้อย,ให้ข้อมูลที่เอาไปใช้ได้ทันทีและชวนคอมเมนต์,คอมเมนต์ว่า “เช้า” ถ้าอยากได้ตัวอย่างมื้อเช้า 5 แบบ
04,posts/04-small-habits-age-you-faster.md,นิสัยเล็กๆ ที่เร่งให้ร่างกายโทรม,5-slide,คนเริ่มใส่ใจสุขภาพวัย 35+,ปลุก awareness เรื่อง healthy aging แบบไม่วิชาการ,ข้อไหนโดนที่สุดสำหรับคุณ คอมเมนต์เลข 1-4
05,posts/05-walk-after-meals.md,เดินหลังอาหาร 10 นาที,one-screen text,คนเริ่มใส่ใจสุขภาพวัย 35+ / biohack-curious,เน้น save-worthy habit และความเป็น practical,ถ้าอยากได้ลิสต์ “นิสัยเล็กแต่คุ้ม” เพิ่ม คอมเมนต์ว่า “ต่อ”
06,posts/06-sugar-craving-not-weakness.md,หิวหวานบ่อย ไม่ได้แปลว่าใจไม่แข็ง,3-slide,คุณแม่/ผู้หญิงดูแลหลายบทบาท / คนทำงานพลังงานตก,สร้าง connection ทางอารมณ์และชวนคนเปิดใจคุย,คอมเมนต์ว่า “หวาน” ถ้าอยากได้แนวทางลดหิวหวานแบบไม่หักดิบ
07,posts/07-10-minute-night-reset.md,คืนที่ยุ่งมาก ให้ reset แค่ 10 นาที,5-slide,คุณแม่/ผู้หญิงดูแลหลายบทบาท / คนทำงานพลังงานตก,ทำให้คนรู้สึกเริ่มได้ทันทีและเซฟไว้ใช้,ถ้าอยากได้ night routine เวอร์ชันคนไม่มีเวลา คอมเมนต์ว่า “10นาที”
08,posts/08-coffee-is-not-the-whole-plan.md,กาแฟช่วยได้ แต่ไม่ควรเป็นทั้งระบบ,one-screen text,คนทำงานพลังงานตก,โพสต์ opinion ที่ชวนคุยง่ายและมี shareability,ทีมกาแฟเช้าเหมือนกันไหม คอมเมนต์ ☕
09,posts/09-stop-chasing-perfect-routine.md,อย่ารอ routine ที่สมบูรณ์แบบ,3-slide,คนเริ่มใส่ใจสุขภาพวัย 35+ / คุณแม่เวลาน้อย,สร้าง mindset alignment และดึงคนที่กลัวเริ่มไม่ไหว,คอมเมนต์ว่า “1อย่าง” ถ้าคุณอยากเริ่มแบบไม่กดดัน
10,posts/10-hydration-check.md,เพลียเพราะดื่มน้ำน้อยกว่าที่คิด,one-screen text,คนทำงานพลังงานตก / คุณแม่เวลาน้อย,โพสต์ quick win ที่เข้าถึงง่ายและคอมเมนต์ง่าย,ใครเป็นสายลืมดื่มน้ำ คอมเมนต์ว่า “ลืม”
11,posts/11-waking-up-tired.md,ตื่นมาเพลีย อาจไม่ใช่เรื่องขี้เกียจ,3-slide,คนทำงานพลังงานตก / คนวัย 35+,สร้าง empathy สูงและดัน engagement,ถ้าโพสต์นี้ตรงกับคุณ คอมเมนต์ว่า “เพลีย” เดี๋ยวทำพาร์ตต่อ
12,posts/12-35-plus-body-changes.md,พออายุ 35+ ร่างกายไม่ตอบสนองเหมือนเดิม,5-slide,คนเริ่มใส่ใจสุขภาพวัย 35+,เจาะ persona หลักวัย 35+ และเพิ่ม self-identification,ถ้าคุณอยู่ช่วงนี้ คอมเมนต์ว่า “35+”
13,posts/13-mom-no-time-wellness.md,คนดูแลทุกคน มักลืมดูแลตัวเอง,one-screen text,คุณแม่/ผู้หญิงดูแลหลายบทบาท,เชื่อมกับ persona ผู้หญิงดูแลหลายบทบาทและดึงคอมเมนต์,ถ้าอยากได้เวอร์ชันสำหรับคุณแม่หรือคนงานแน่น คอมเมนต์ว่า “แม่บ้าน”
14,posts/14-office-evening-routine.md,เลิกงานแล้วหมดแรง ทำ routine แค่ 3 ขั้น,3-slide,คนทำงานพลังงานตก,ให้ routine แบบ practical และชวนต่อยอดซีรีส์,คอมเมนต์ว่า “หลังงาน” ถ้าอยากได้ morning version ด้วย
15,posts/15-strength-for-future-self.md,ถ้าอยากแก่แบบยังคล่องตัว อย่ามองข้ามแรงกล้ามเนื้อ,one-screen text,คนวัย 35+ / biohack-curious,ยกระดับ positioning ไปทาง longevity แบบ practical,ถ้าอยากได้ลิสต์ “นิสัยเพื่อ future self” คอมเมนต์ว่า “future”
16,posts/16-detox-opinion.md,ไม่ใช่ทุกอย่างที่ชื่อ detox จะจำเป็น,3-slide,biohack-curious / คนเริ่มใส่ใจสุขภาพ,ทำ myth/trend decode แบบปลอดภัยและชวนถก,อยากให้ทำโพสต์ “อะไรควรเริ่มก่อน” ไหม คอมเมนต์ว่า “จัดลำดับ”
17,posts/17-fiber-first-eating.md,กินให้อิ่มนานขึ้น ไม่ต้องเริ่มจากอด,3-slide,คนวัย 35+ / คุณแม่เวลาน้อย,เนื้อหากินง่าย ใช้ได้จริง และแชร์ได้,คอมเมนต์ว่า “อิ่ม” ถ้าอยากได้ checklist จัดจานง่ายๆ
18,posts/18-stress-ages-you.md,สิ่งที่ทำให้หลายคนดูโทรม ไม่ใช่อายุอย่างเดียว,one-screen text,คนทำงานพลังงานตก / คนวัย 35+,ขยายความเข้าใจเรื่องความเครียดและดึงความสนใจต่อเนื่อง,ถ้าอยากได้ mini reset ระหว่างวัน คอมเมนต์ว่า “reset”
19,posts/19-morning-sunlight.md,แดดเช้าอาจเรียบง่ายกว่าที่คิด แต่คุ้ม,one-screen text,biohack-curious / คนทำงานพลังงานตก,โพสต์แนว lifestyle habit ที่ทั้ง soft และ premium,ทีมตื่นเช้าหรือทีมง่วงเช้า คอมเมนต์มาได้
20,posts/20-supplements-start-with-basics.md,ก่อนถามว่าเสริมอะไร ลองถามว่าฐานแน่นหรือยัง,3-slide,biohack-curious / คนวัย 35+,เชื่อมสู่บทสนทนาเรื่อง routine/support อย่างปลอดภัย,ถ้าอยากได้ framework ตัดสินใจแบบไม่งง คอมเมนต์ว่า “framework”
21,posts/21-weekend-sleep-catchup-myth.md,เสาร์อาทิตย์นอนชดเชยอย่างเดียว อาจยังไม่พอ,3-slide,คนทำงานพลังงานตก,แก้ myth เบาๆ และเพิ่มความรู้สึกโดนใจ,ใครเป็นทีม “วันจันทร์เหมือนโดนชน” คอมเมนต์ว่า “จันทร์”
22,posts/22-future-self-question.md,คำถามที่ควรถามเวลาจะเลือกนิสัยสุขภาพ,one-screen text,คนวัย 35+ / opportunity-curious แบบ soft,สร้าง positioning เชิงความคิดและเพิ่ม share/save,ถ้าอยากได้ชุดคำถามเลือก routine ให้เหมาะกับชีวิต คอมเมนต์ว่า “ถาม”
23,posts/23-community-helps-consistency.md,บางคนไม่ได้ขาดความรู้ แต่ขาดสภาพแวดล้อมที่พาไปต่อ,3-slide,opportunity-curious / คนวัย 35+,soft lead-in ไปสู่ inbound conversation,ถ้าคุณอยากมีคนคุยเรื่อง wellness แบบไม่กดดัน ทักมาคำว่า “คุย” ได้
24,posts/24-no-time-reframe.md,ไม่มีเวลา อาจแปลว่ายังไม่มีเวอร์ชันที่ง่ายพอ,one-screen text,คุณแม่/ผู้หญิงดูแลหลายบทบาท / คนทำงานพลังงานตก,แก้ข้ออ้างด้วยความเข้าใจ ไม่ใช่การตำหนิ,ถ้าอยากได้ไอเดียเวอร์ชันขั้นต่ำ คอมเมนต์ว่า “ขั้นต่ำ”
25,posts/25-desk-worker-reboot.md,รีบูตร่างกายระหว่างวันสำหรับคนนั่งโต๊ะ,5-slide,คนทำงานพลังงานตก,เนื้อหา practical มาก เหมาะกับ save และ comment,คอมเมนต์ว่า “โต๊ะทำงาน” ถ้าอยากได้เวอร์ชัน printable
26,posts/26-why-people-quit-health-habits.md,เหตุผลที่คนหลุดจากการดูแลตัวเองบ่อย,3-slide,คนวัย 35+ / opportunity-curious แบบ soft,วาง thought leadership และเปิดทางสู่บทสนทนาเชิงลึก,ถ้าอยากได้แนวคิดสร้างระบบสุขภาพที่ยืดหยุ่น คอมเมนต์ว่า “ระบบ”
27,posts/27-smart-snack-for-busy-women.md,ของว่างที่ช่วยชีวิตในวันที่วุ่นมาก,3-slide,คุณแม่/ผู้หญิงดูแลหลายบทบาท,เจาะกลุ่มผู้หญิงเวลาน้อยและสร้าง DM/comment ต่อได้,ถ้าอยากได้ไอเดีย snack สำหรับคนงานแน่น คอมเมนต์ว่า “snack”
28,posts/28-choose-your-focus.md,ตอนนี้คุณอยากโฟกัสเรื่องไหนที่สุด,one-screen text,ทุก persona,engagement สูง + เก็บ insight จาก audience,คอมเมนต์เลข 1 / 2 / 3 / 4
29,posts/29-personalized-start-point.md,แต่ละคนไม่ควรเริ่มจากจุดเดียวกัน,3-slide,คนวัย 35+ / คนทำงานพลังงานตก,เปิด inbound conversation แบบ personalized,ถ้าอยากคุยว่าเริ่มจากตรงไหนดี ทักคำว่า “เริ่ม” ได้
30,posts/30-more-than-information.md,บางคนไม่ได้ต้องการข้อมูลเพิ่ม แต่ต้องการระบบและคนเดินไปด้วย,5-slide,opportunity-curious แบบ soft / คนวัย 35+,soft lead generation ไปสู่ wellness/product/community conversation,ถ้าอยากคุยแบบตรงๆ ว่าอะไร fit หรือไม่ fit กับชีวิตคุณ ทักมาได้
